"Sort","Field","Journal Name","2025-01-31","2025-01-24","2025-01-17","2025-01-10","2025-01-03","2024-12-27","2024-12-20","2024-12-13","2024-12-06","2024-11-29","2024-11-22","2024-11-15","2024-11-08","2024-11-01","2024-10-25","2024-10-18","2024-10-11","2024-10-04","2024-09-27","2024-09-20","2024-09-13","2024-09-06","2024-08-30","2024-08-23"
1,"Politics","American Journal of Political Science",0,0,0,2,0,3,1,2,2,5,1,1,1,0,1,1,3,2,2,1,5,5,3,2
2,"Politics","American Political Science Review",6,4,0,0,1,2,2,8,0,1,1,5,2,7,1,1,1,3,1,0,0,1,0,3
3,"Politics","Annual Review of Political Science",0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Politics","British Journal of Political Science",0,1,0,0,0,0,0,0,2,4,2,1,0,0,1,0,0,1,0,0,0,0,0,0
5,"Politics","Comparative Political Studies",0,1,2,2,0,1,5,5,5,3,0,2,1,0,1,3,3,2,0,5,1,2,1,1
6,"Politics","Comparative Politics",2,3,0,0,6,0,0,1,0,1,1,0,1,0,1,0,0,7,0,0,1,0,1,0
7,"Politics","Electoral Studies",1,0,0,1,1,1,2,0,18,1,0,0,1,0,2,3,3,7,3,2,2,0,4,0
8,"Politics","European Journal of Political Research",0,0,0,2,1,0,4,1,1,1,0,2,4,2,0,3,2,3,1,1,1,4,1,0
9,"Politics","International Organization",0,0,1,0,0,2,0,0,0,2,4,2,0,1,0,0,0,0,0,0,0,1,2,1
10,"Politics","International Security",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0
11,"Politics","International Studies Quarterly",0,0,1,1,2,1,2,8,0,0,0,2,0,1,2,4,4,0,0,1,0,0,1,1
12,"Politics","Journal of Conflict Resolution",2,1,1,1,0,2,0,1,3,0,2,0,1,1,2,3,2,1,0,0,0,0,1,1
13,"Politics","Journal of Experimental Political Science",0,0,0,2,0,0,2,0,2,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0
14,"Politics","Journal of Peace Research",0,2,0,0,5,1,3,0,0,2,3,1,4,4,4,1,0,3,1,0,1,0,2,1
15,"Politics","Journal of Theoretical Politics",1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0
16,"Politics","Legislative Studies Quarterly",0,0,0,0,0,0,1,0,0,1,1,1,0,1,2,0,1,0,1,2,0,2,3,0
17,"Politics","PS: Political Science & Politics",1,6,11,2,0,2,3,2,0,6,1,8,0,1,0,21,0,0,0,0,0,0,1,0
18,"Politics","Party Politics",0,1,1,3,1,4,2,5,1,2,0,0,0,0,3,3,2,1,1,4,0,1,3,3
19,"Politics","Political Analysis",6,7,0,0,2,0,0,1,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0
20,"Politics","Political Behavior",2,1,2,1,0,1,0,2,0,0,4,3,3,5,0,0,2,0,1,2,1,2,2,1
21,"Politics","Political Geography",1,7,3,0,11,5,3,4,3,4,1,1,1,1,6,4,5,13,5,0,2,5,4,1
22,"Politics","Political Psychology",3,2,2,2,1,3,1,1,2,0,1,0,2,3,1,3,3,6,4,3,0,6,5,0
23,"Politics","Political Science Research and Methods",0,0,3,3,0,0,0,1,1,0,1,0,0,2,0,5,4,3,4,0,0,0,0,0
24,"Politics","Public Choice",1,0,1,3,3,1,0,2,1,2,14,2,11,1,1,0,0,1,3,2,2,4,1,0
25,"Politics","Public Opinion Quarterly",0,0,0,0,0,1,0,0,0,1,2,0,1,3,6,0,0,0,0,0,0,0,0,0
26,"Politics","Quarterly Journal of Political Science",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
27,"Politics","Research & Politics",0,1,1,1,0,4,1,0,1,0,0,0,1,0,1,0,0,0,2,0,0,2,3,2
28,"Politics","The Journal of Politics",6,8,6,9,0,12,15,21,0,0,0,0,0,0,0,0,0,35,0,53,0,10,0,0
29,"Politics","West European Politics",2,3,3,1,0,0,1,0,2,0,0,3,0,0,2,0,0,0,2,2,2,0,1,0
30,"Politics","World Politics",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0
31,"Economics","American Economic Journal: Applied Economics",0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0
32,"Economics","American Economic Journal: Economic Policy",0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
33,"Economics","American Economic Review",10,0,0,0,10,0,0,0,10,10,0,0,0,10,0,0,0,10,0,0,0,0,10,0
34,"Economics","Annual Review of Economics",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
35,"Economics","Econometrica",10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,14,0,0,0,0,0
36,"Economics","Economic Journal",5,2,1,2,0,3,4,3,0,0,4,3,1,1,4,0,2,2,4,2,1,1,0,
37,"Economics","Economic Policy",7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,9,0,2,0,0,0,0,1
38,"Economics","European Economic Review",9,2,6,4,16,2,4,4,3,5,3,2,5,0,5,6,5,3,3,5,5,23,9,2
39,"Economics","Journal of Econometrics",4,1,2,5,1,5,5,2,2,6,3,2,2,1,3,1,0,4,8,2,2,2,4,0
40,"Economics","Journal of Economic Literature",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
41,"Economics","Journal of Economic Perspectives",0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
42,"Economics","Journal of Political Economy",6,10,4,3,0,0,2,5,11,7,0,2,2,2,4,2,0,5,5,3,2,1,10,4
43,"Economics","Journal of Public Economics",5,7,2,4,4,2,2,1,10,4,2,1,7,0,5,4,4,25,2,3,1,2,9,2
44,"Economics","Journal of the European Economic Association",0,4,2,1,0,2,1,1,0,1,2,0,0,1,0,2,1,0,1,0,1,0,0,0
45,"Economics","Review of Economics and Statistics",18,0,0,0,0,0,0,19,0,14,0,1,17,0,0,0,0,0,19,0,0,0,20,0
46,"Economics","The Quarterly Journal of Economics",2,3,1,0,0,2,2,1,1,1,1,1,0,3,0,2,1,0,0,0,1,1,0,0
47,"Economics","The Review of Economic Studies",1,0,1,2,2,2,2,1,0,0,1,3,3,1,2,3,1,0,0,1,3,2,1,3
48,"Sociology","American Sociological Review",0,1,1,3,0,0,0,2,1,1,2,2,1,0,0,0,1,0,1,2,0,0,2,0
49,"Sociology","Annual Review of Sociology",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"Sociology","European Sociological Review",0,0,1,0,0,0,4,1,0,1,2,1,0,2,3,1,0,1,0,0,0,0,0,0
51,"Sociology","Social Forces",6,7,2,7,0,3,2,6,0,0,2,6,5,4,1,3,4,6,3,2,3,14,3,
52,"Sociology","Sociological Methods & Research",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
53,"Multidisciplinary","Annals of the American Academy of Political and Social Science",0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,,,
54,"Multidisciplinary","Nature",1,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,1,0,0,0,1,0
55,"Multidisciplinary","Nature Human Behaviour",3,3,1,2,0,10,2,2,3,2,16,5,4,3,14,3,7,0,3,4,2,1,7,2
56,"Multidisciplinary","Proceedings of the National Academy of Sciences",11,8,2,2,7,4,4,4,9,11,16,5,7,8,3,7,4,7,1,3,6,5,3,6
57,"Multidisciplinary","Science",2,0,2,1,0,2,0,0,3,2,0,1,1,2,3,1,1,2,1,0,4,3,1,3
58,"Multidisciplinary","Science Advances",0,2,4,1,0,1,0,2,3,0,1,2,1,2,2,6,1,0,0,2,2,1,0,3
59,"Multidisciplinary","Socio-Economic Review",0,0,0,3,0,1,2,3,0,2,2,2,2,0,1,1,0,4,2,1,2,,,
60,"Migration","Comparative Migration Studies",1,0,4,1,2,1,2,0,0,2,0,1,2,0,2,1,2,2,2,0,0,1,2,0
61,"Migration","Ethnic and Racial Studies",1,4,1,9,0,0,17,6,6,3,1,2,2,4,4,,,,,,,,,
62,"Migration","International Migration",5,6,5,0,1,0,0,4,3,2,0,0,3,1,3,0,0,0,0,0,1,1,2,2
63,"Migration","International Migration Review",1,4,4,2,1,0,0,3,0,0,2,0,3,2,0,4,3,2,2,9,4,8,2,1
64,"Migration","Journal of Ethnic and Migration Studies",2,10,1,0,1,3,1,2,3,5,2,2,6,2,4,1,2,0,6,3,4,0,19,5
65,"Migration","Journal of Refugee Studies",1,0,0,2,2,1,5,0,0,2,2,0,0,2,0,,,,,,,,,
66,"Migration","Population Space and Place",1,3,1,2,4,1,2,2,4,0,1,1,0,2,0,,,,,,,,,
67,"Public Administration and Policy Studies","Governance",1,2,3,0,0,0,1,1,0,0,0,0,1,0,1,,,,,,,,,
68,"Public Administration and Policy Studies","Journal of European Public Policy",1,2,1,4,0,1,5,3,2,2,0,3,1,3,3,,,,,,,,,
69,"Public Administration and Policy Studies","Journal of Public Administration Research and Theory",0,1,1,1,0,0,1,0,0,0,2,0,1,0,1,,,,,,,,,
70,"Public Administration and Policy Studies","Journal of Public Policy",1,0,0,1,1,2,0,0,0,0,2,0,0,0,1,,,,,,,,,
71,"Public Administration and Policy Studies","Public Administration",0,1,2,0,0,0,1,0,1,0,0,0,0,4,1,,,,,,,,,
72,"Public Administration and Policy Studies","Public Administration Review",5,0,4,1,1,5,0,2,5,2,4,5,2,0,1,,,,,,,,,
73,"Public Administration and Policy Studies","Public Management Review",5,2,2,2,3,1,3,3,2,1,2,2,0,2,1,,,,,,,,,
74,"Public Administration and Policy Studies","Regulation & Governance",1,3,1,1,0,0,0,4,2,0,2,1,0,1,0,,,,,,,,,
75,"Communication Studies","Communication Methods and Measures",0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,,,,,,,,,
76,"Communication Studies","Communication Research",1,0,1,0,0,0,0,2,0,0,0,1,0,1,4,,,,,,,,,
77,"Communication Studies","Digital Journalism",4,2,3,4,0,0,0,0,1,0,2,1,0,0,2,,,,,,,,,
78,"Communication Studies","Human Communication Research",0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,,,,,,,,,
79,"Communication Studies","Information, Communication & Society",5,4,2,1,3,6,0,3,4,5,5,2,4,6,1,,,,,,,,,
80,"Communication Studies","Internet Policy Review",0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,,,,,,,,,
81,"Communication Studies","Journal of Communication",1,1,0,4,2,0,2,1,0,2,2,1,2,0,1,,,,,,,,,
82,"Communication Studies","Media, Culture & Society",3,0,4,2,0,2,0,0,1,0,1,1,0,1,1,,,,,,,,,
83,"Communication Studies","Political Communication",1,1,0,0,0,3,2,2,1,0,0,0,3,1,0,,,,,,,,,
84,"Communication Studies","Social Media + Society",5,3,1,0,0,2,9,3,5,4,3,4,3,7,1,,,,,,,,,
85,"Communication Studies","Telecommunications Policy",1,0,0,2,0,1,0,0,1,0,2,1,0,0,2,,,,,,,,,
,"","European Societies",0,0,0,23,,,,,,,,,,,,,,,,,,,,
